number,name_horse,horse_age,weight,race_place,distance,prize,win_odd,draw,entraineur,proprietaire,sex
2,CLEAR THE BILL,4,585 ,5,1000,29362,3.2,3,G F Burns,W B Andrews Breeding Racing m,HONGRE
3,HAIL MANHATTAN,4,580 ,0,1000,8365,16,11,P W Hulbert,A T Biasci Miss N Collingwood,HONGRE
4,PAINTED WOLF,5,575 ,2,1000,11321,17,7,A J T Edmonds,Emmanuel Bloodstock Pty Ltd mgr,HONGRE
5,PHIONAI,4,570 ,2,1000,23674,11,13,Chris Munce,W B Andrews Breeding Racing S,HONGRE
6,DONE IT AGAIN,4,565 ,1,1000,9489,4.2,1,K M Schweida,Mrs P F Thomas Mrs L G Dion,HONGRE
7,LOVE YA BLUE,5,565 ,6,1000,22517,18,9,R R Wilson,S Bennett Miss J L Blight,HONGRE
8,GREY COURT,5,555 ,1,1000,12994,19,14,P Duff,S W Peachey D P Hill N P Hill,HONGRE
9,MISS DAIQUIRI,5,555 ,1,1000,12333,9.7,4,Tony Georgieff,D A Georgieff,FEMELLE
11,METALLURGIST,4,550 ,2,1000,11986,10,12,D J Hansen,Mrs L M Lawlor Miss D M Lawlor,HONGRE
13,COACHES AWARD,6,550 ,1,1000,14449,24,10,Kevin Martin,K J Martin T J Martin C R Mart,HONGRE
14,DAVIDBOOM,6,550 ,0,1000,7810,14,2,J L Mott,Mrs N A Mott,HONGRE
